texto_id,texto,rank,imagen_id,score,imagen_correcta,es_correcto
TXT_01,Textil andino sintético con franjas horizontales repetidas y organización simétrica del color.,1,T01,0.24360311031341553,T01,True
TXT_02,Textil andino sintético con franjas verticales alternadas y estructura visual ordenada.,1,T06,0.20955809950828552,T02,False
TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,1,T05,0.27362120151519775,T03,False
TXT_04,Textil andino sintético con rombos centrales repetidos y simetría axial.,1,T09,0.21376773715019226,T04,False
TXT_05,"Textil andino sintético con composición modular en cuadrícula, inspirada en patrones tipo tocapu.",1,T06,0.22980064153671265,T05,False
TXT_06,Textil andino sintético con bandas decorativas y pequeños motivos geométricos repetidos.,1,T06,0.27196091413497925,T06,True
TXT_07,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.,1,T05,0.2585175037384033,T07,False
TXT_08,Textil andino sintético con composición bilateral y equilibrio visual entre ambos lados.,1,T05,0.2309882938861847,T08,False
TXT_09,Textil andino sintético de alta densidad geométrica con repetición de figuras pequeñas.,1,T09,0.2309708297252655,T09,True
TXT_10,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.,1,T05,0.25801438093185425,T10,False
